link,price,price_before_discount,currency,rating,image_url,Product Title,Category,Site,All Reviews,Brand,Operating System,Ram Memory Installed Size,Memory Storage Capacity,Screen Size,Resolution,Refresh Rate,Model Name,Wireless Carrier,Cellular Technology,Connectivity Technology,CPU Model,CPU Speed,Color,date
https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB22F9C/ref=sr_1_1?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-1,159.,$129.50,USD,4.2 out of 5 stars,https://m.media-amazon.com/images/I/51rp0nqaPoL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/SAMSUNG-A35-Unlocked-Smartphone-Expandable/dp/B0CV4NH5T9/ref=sr_1_2?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-2,299.,$399.99,USD,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71hvjmD42tL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Expandable-Security/dp/B0CN1QSH8Q/ref=sr_1_3?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-3,199.,$157.99,USD,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41vU1u8DZXL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-4,195.,$137.27,USD,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Sbx9zQN3L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Samsung-SM-A042M-DS-Unlocked-International/dp/B0BLZN9NDG/ref=sr_1_5?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-5,87.,$105.00,USD,3.8 out of 5 stars,https://m.media-amazon.com/images/I/71O2YkTlq-L._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Samsung-SM-155M-DSN-Unlocked-International/dp/B0CSB14R7J/ref=sr_1_6?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-6,150.,$115.63,USD,4.3 out of 5 stars,https://m.media-amazon.com/images/I/515zGEaozeL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Samsung-Smartphone-Unlocked-Brightest-Processor/dp/B09V5LDZQ4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-7,230.,$244.99,USD,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61M4ndNetDL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Apple-iPhone-11-64GB-Black/dp/B07ZPKN6YR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-8,218.,$188.99,USD,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61MG3m5FhIL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/Samsung-Dual-SIM-Unlocked-Android-Smartphone/dp/B0D64375G1/ref=sr_1_9?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-9,93.,$92.87,USD,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71+hnEbeddL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
https://www.amazon.com/SAMSUNG-Smartphone-Unlocked-Android-Titanium/dp/B0CMDM65JH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.EC1kT1qi-7Gh9QGgRMYl9SkZ1LUQcxNUXnPAx4ZnVzXWfH0O1dzcKmg5N-nMBk_16NStEUcsBdCTte3ND5FEZzURpbLiQ_DFbsc0whQNOrAZGCThdA3M5XWo8BU4N1uSWTZsF__m9fThiWMBPwWIbUTXjchlMm4zmzk5YSqQbDqiivUozJ03GOsOeJjTPs-R9BxXd6LQGrsqD5NEaeohAT8GdUb6OrkPwBo6eF3-vPc.1807wYH-HHU32oYX4UPvch0W0YhHe-rzhIRVWU0niIs&dib_tag=se&keywords=mobile+phone&qid=1729650139&sr=8-10,"1,091.","$1,299.99",USD,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71WcjsOVOmL._AC_UY218_.jpg,No title found,Mobile Phones,Amazon,[],,,,,,,,,,,,,,,2024-10-23
